id,name,division,population,digital_access_score,service_access_score,double_gap_flag,internet_usage_pct,smartphone_ownership_pct,digital_skills_pct,gender_gap_pct,healthcare_per_capita,education_per_capita,transit_per_capita
dhaka,Dhaka,Dhaka Division,10278882,1.0,0.841,False,77.1,72.4,58.2,8.6,11.11,27.63,16.05
gazipur,Gazipur,Dhaka Division,5263474,0.681,0.206,False,64.8,59.3,42.5,10.8,5.93,16.91,8.17
narayanganj,Narayanganj,Dhaka Division,3909138,0.743,0.332,False,68.2,63.1,45.6,10.6,7.16,18.42,9.72
tangail,Tangail,Dhaka Division,4037608,0.262,0.117,True,42.5,38.1,26.4,13.2,4.58,20.31,5.2
narsingdi,Narsingdi,Dhaka Division,2584452,0.35,0.209,True,51.3,46.8,32.0,13.8,5.42,20.89,6.77
manikganj,Manikganj,Dhaka Division,1558024,0.308,0.323,True,46.7,42.3,29.1,13.4,6.1,24.39,7.7
munshiganj,Munshiganj,Dhaka Division,1625418,0.403,0.385,False,54.2,49.5,34.8,13.6,6.77,25.22,8.31
faridpur,Faridpur,Dhaka Division,2162876,0.254,0.296,True,44.1,39.6,27.5,13.8,6.24,23.58,6.94
gopalganj,Gopalganj,Dhaka Division,1295053,0.306,0.429,False,45.8,41.2,28.7,13.2,6.56,30.11,7.34
madaripur,Madaripur,Dhaka Division,1293027,0.242,0.327,True,41.9,37.4,25.8,13.4,6.03,26.29,6.81
rajbari,Rajbari,Dhaka Division,1189821,0.212,0.322,True,39.8,35.3,24.1,13.4,6.05,26.05,6.72
shariatpur,Shariatpur,Dhaka Division,1294561,0.195,0.269,True,38.5,34.1,23.2,13.4,5.79,24.72,6.03
kishoreganj,Kishoreganj,Dhaka Division,3484271,0.157,0.097,True,36.4,32.0,21.8,13.6,4.74,20.38,4.16
chattogram,Chattogram,Chattogram Division,9169464,0.744,0.563,False,69.5,64.2,48.7,11.2,8.51,23.45,12.87
coxs_bazar,Cox's Bazar,Chattogram Division,2823265,0.178,0.103,True,38.2,33.8,22.4,13.6,5.03,17.36,5.67
cumilla,Cumilla,Chattogram Division,6212216,0.452,0.233,False,56.8,51.4,36.2,13.2,5.8,21.57,6.6
feni,Feni,Chattogram Division,1648896,0.501,0.467,False,58.4,53.1,38.5,12.8,7.58,26.08,9.4
brahmanbaria,Brahmanbaria,Chattogram Division,3306559,0.297,0.186,True,47.2,42.5,29.8,13.8,5.14,21.77,5.9
noakhali,Noakhali,Chattogram Division,3625252,0.288,0.208,True,45.3,40.6,28.2,13.4,5.38,22.34,5.93
chandpur,Chandpur,Chattogram Division,2635748,0.325,0.288,True,49.1,44.5,31.4,13.8,5.88,24.28,6.83
lakshmipur,Lakshmipur,Chattogram Division,1938111,0.247,0.275,True,41.6,37.0,25.5,13.2,5.68,24.77,6.45
rangamati,Rangamati,Chattogram Division,647587,0.161,0.479,False,33.4,28.9,,12.8,7.41,33.97,5.4
khagrachhari,Khagrachhari,Chattogram Division,714119,0.14,0.472,False,31.8,27.3,,12.8,7.28,33.61,5.6
bandarban,Bandarban,Chattogram Division,481109,0.136,0.569,False,28.4,24.1,,12.2,7.9,37.41,5.82
rajshahi,Rajshahi,Rajshahi Division,2915013,0.496,0.772,False,59.1,54.3,41.2,13.4,10.12,33.62,11.66
bogura,Bogura,Rajshahi Division,3734300,0.385,0.428,False,52.6,47.8,34.5,13.6,6.96,27.31,8.3
pabna,Pabna,Rajshahi Division,2909622,0.279,0.283,True,45.2,40.5,28.4,13.6,5.67,25.09,6.53
sirajganj,Sirajganj,Rajshahi Division,3544080,0.176,0.187,True,37.8,33.4,22.8,13.6,5.08,23.14,5.22
naogaon,Naogaon,Rajshahi Division,2784598,0.197,0.259,True,39.4,34.8,24.0,13.6,5.39,25.5,5.93
natore,Natore,Rajshahi Division,1859921,0.26,0.372,True,43.1,38.6,26.9,13.4,6.18,27.42,7.53
joypurhat,Joypurhat,Rajshahi Division,956447,0.28,0.597,False,44.5,39.9,28.1,13.4,7.84,32.41,9.93
chapainawabganj,Chapainawabganj,Rajshahi Division,1835528,0.235,0.339,True,42.0,37.5,26.0,13.6,5.99,26.7,7.08
khulna,Khulna,Khulna Division,2613385,0.55,0.73,False,62.4,57.1,43.8,13.2,9.37,32.91,11.86
jashore,Jashore,Khulna Division,3076849,0.427,0.476,False,55.1,50.2,35.9,13.4,7.15,28.93,8.78
kushtia,Kushtia,Khulna Division,2149692,0.337,0.466,False,48.7,43.9,31.0,13.4,7.21,28.38,8.61
jhenaidah,Jhenaidah,Khulna Division,2005849,0.276,0.385,True,45.0,40.3,28.2,13.6,6.48,27.42,7.48
satkhira,Satkhira,Khulna Division,2196581,0.232,0.322,True,41.2,36.7,25.2,13.4,6.15,26.4,6.37
bagerhat,Bagerhat,Khulna Division,1613079,0.223,0.471,False,40.5,36.0,24.8,13.4,7.13,30.38,7.75
chuadanga,Chuadanga,Khulna Division,1234066,0.282,0.536,False,44.8,40.1,28.0,13.4,7.7,30.79,8.91
meherpur,Meherpur,Khulna Division,705356,0.261,0.61,False,43.2,38.7,26.8,13.4,8.22,32.61,9.64
magura,Magura,Khulna Division,1033115,0.252,0.484,False,42.6,38.0,26.4,13.4,7.26,30.01,8.23
narail,Narail,Khulna Division,788673,0.265,0.578,False,43.5,39.0,27.1,13.4,7.86,32.97,8.88
barishal,Barishal,Barishal Division,2570450,0.389,0.48,False,51.8,46.9,33.2,13.2,7.39,28.79,8.56
patuakhali,Patuakhali,Barishal Division,1727254,0.2,0.36,True,38.9,34.4,23.5,13.4,6.66,27.21,6.37
bhola,Bhola,Barishal Division,1932514,0.112,0.142,True,32.5,28.1,18.9,13.4,5.07,21.73,4.4
pirojpur,Pirojpur,Barishal Division,1198193,0.3,0.549,False,46.1,41.4,28.9,13.4,7.93,32.55,7.93
barguna,Barguna,Barishal Division,1010540,0.125,0.365,True,34.2,29.8,20.1,13.6,6.73,27.71,6.14
jhalokati,Jhalokati,Barishal Division,715401,0.313,0.641,False,47.0,42.3,29.6,13.4,8.39,34.95,9.09
sylhet,Sylhet,Sylhet Division,3857037,0.47,0.467,False,57.6,52.8,37.4,13.2,7.39,28.0,8.56
moulvibazar,Moulvibazar,Sylhet Division,2121667,0.302,0.397,True,46.3,41.6,29.0,13.4,6.6,27.34,7.78
habiganj,Habiganj,Sylhet Division,2358886,0.164,0.229,True,37.1,32.6,22.0,13.6,5.51,22.89,6.15
sunamganj,Sunamganj,Sylhet Division,2695495,0.104,0.049,True,31.4,26.9,17.8,13.2,4.27,18.92,4.08
rangpur,Rangpur,Rangpur Division,3169615,0.329,0.427,False,48.2,43.5,30.5,13.4,6.94,27.45,8.2
dinajpur,Dinajpur,Rangpur Division,3315238,0.28,0.37,True,44.6,39.9,28.0,13.4,6.18,27.75,7.24
gaibandha,Gaibandha,Rangpur Division,2562232,0.129,0.125,True,33.8,29.4,19.8,13.4,4.68,20.69,5.07
kurigram,Kurigram,Rangpur Division,2329161,0.083,0.034,True,29.1,24.8,16.2,13.0,4.08,18.89,3.86
lalmonirhat,Lalmonirhat,Rangpur Division,1428406,0.14,0.225,True,34.5,30.1,20.4,13.4,5.46,23.1,5.95
nilphamari,Nilphamari,Rangpur Division,2092567,0.164,0.199,True,37.0,32.5,22.1,13.6,5.26,22.46,5.73
panchagarh,Panchagarh,Rangpur Division,1179843,0.195,0.318,True,39.2,34.7,23.8,13.6,6.1,26.27,6.36
thakurgaon,Thakurgaon,Rangpur Division,1533895,0.178,0.271,True,38.0,33.5,22.9,13.6,5.74,24.77,6.19
mymensingh,Mymensingh,Mymensingh Division,5899052,0.305,0.187,True,46.5,41.8,29.2,13.4,5.26,21.7,5.76
jamalpur,Jamalpur,Mymensingh Division,2499737,0.133,0.126,True,34.0,29.6,20.0,13.4,4.72,20.8,5.0
netrokona,Netrokona,Mymensingh Division,2324856,0.089,0.061,True,30.2,25.9,17.1,13.2,4.22,19.79,4.09
sherpur,Sherpur,Mymensingh Division,1445747,0.038,0.052,True,25.9,21.5,14.0,13.0,4.22,19.71,3.8
