district_id,district_name,division,internet_usage_pct,smartphone_ownership_pct,digital_skills_pct,male_usage_pct,female_usage_pct,gender_gap_pct,source_citation
dhaka,Dhaka,Dhaka Division,77.1,72.4,58.2,81.4,72.8,8.6,Modeled Demonstration Inputs
gazipur,Gazipur,Dhaka Division,64.8,59.3,42.5,70.2,59.4,10.8,Modeled Demonstration Inputs
narayanganj,Narayanganj,Dhaka Division,68.2,63.1,45.6,73.5,62.9,10.6,Modeled Demonstration Inputs
tangail,Tangail,Dhaka Division,42.5,38.1,26.4,49.1,35.9,13.2,Modeled Demonstration Inputs
narsingdi,Narsingdi,Dhaka Division,51.3,46.8,32.0,58.2,44.4,13.8,Modeled Demonstration Inputs
manikganj,Manikganj,Dhaka Division,46.7,42.3,29.1,53.4,40.0,13.4,Modeled Demonstration Inputs
munshiganj,Munshiganj,Dhaka Division,54.2,49.5,34.8,61.0,47.4,13.6,Modeled Demonstration Inputs
faridpur,Faridpur,Dhaka Division,44.1,39.6,27.5,51.0,37.2,13.8,Modeled Demonstration Inputs
gopalganj,Gopalganj,Dhaka Division,45.8,41.2,28.7,52.4,39.2,13.2,Modeled Demonstration Inputs
madaripur,Madaripur,Dhaka Division,41.9,37.4,25.8,48.6,35.2,13.4,Modeled Demonstration Inputs
rajbari,Rajbari,Dhaka Division,39.8,35.3,24.1,46.5,33.1,13.4,Modeled Demonstration Inputs
shariatpur,Shariatpur,Dhaka Division,38.5,34.1,23.2,45.2,31.8,13.4,Modeled Demonstration Inputs
kishoreganj,Kishoreganj,Dhaka Division,36.4,32.0,21.8,43.2,29.6,13.6,Modeled Demonstration Inputs
chattogram,Chattogram,Chattogram Division,69.5,64.2,48.7,75.1,63.9,11.2,Modeled Demonstration Inputs
coxs_bazar,Cox's Bazar,Chattogram Division,38.2,33.8,22.4,45.0,31.4,13.6,Modeled Demonstration Inputs
cumilla,Cumilla,Chattogram Division,56.8,51.4,36.2,63.4,50.2,13.2,Modeled Demonstration Inputs
feni,Feni,Chattogram Division,58.4,53.1,38.5,64.8,52.0,12.8,Modeled Demonstration Inputs
brahmanbaria,Brahmanbaria,Chattogram Division,47.2,42.5,29.8,54.1,40.3,13.8,Modeled Demonstration Inputs
noakhali,Noakhali,Chattogram Division,45.3,40.6,28.2,52.0,38.6,13.4,Modeled Demonstration Inputs
chandpur,Chandpur,Chattogram Division,49.1,44.5,31.4,56.0,42.2,13.8,Modeled Demonstration Inputs
lakshmipur,Lakshmipur,Chattogram Division,41.6,37.0,25.5,48.2,35.0,13.2,Modeled Demonstration Inputs
rangamati,Rangamati,Chattogram Division,33.4,28.9,,39.8,27.0,12.8,Modeled Demonstration Inputs
khagrachhari,Khagrachhari,Chattogram Division,31.8,27.3,,38.2,25.4,12.8,Modeled Demonstration Inputs
bandarban,Bandarban,Chattogram Division,28.4,24.1,,34.5,22.3,12.2,Modeled Demonstration Inputs
rajshahi,Rajshahi,Rajshahi Division,59.1,54.3,41.2,65.8,52.4,13.4,Modeled Demonstration Inputs
bogura,Bogura,Rajshahi Division,52.6,47.8,34.5,59.4,45.8,13.6,Modeled Demonstration Inputs
pabna,Pabna,Rajshahi Division,45.2,40.5,28.4,52.0,38.4,13.6,Modeled Demonstration Inputs
sirajganj,Sirajganj,Rajshahi Division,37.8,33.4,22.8,44.6,31.0,13.6,Modeled Demonstration Inputs
naogaon,Naogaon,Rajshahi Division,39.4,34.8,24.0,46.2,32.6,13.6,Modeled Demonstration Inputs
natore,Natore,Rajshahi Division,43.1,38.6,26.9,49.8,36.4,13.4,Modeled Demonstration Inputs
joypurhat,Joypurhat,Rajshahi Division,44.5,39.9,28.1,51.2,37.8,13.4,Modeled Demonstration Inputs
chapainawabganj,Chapainawabganj,Rajshahi Division,42.0,37.5,26.0,48.8,35.2,13.6,Modeled Demonstration Inputs
khulna,Khulna,Khulna Division,62.4,57.1,43.8,69.0,55.8,13.2,Modeled Demonstration Inputs
jashore,Jashore,Khulna Division,55.1,50.2,35.9,61.8,48.4,13.4,Modeled Demonstration Inputs
kushtia,Kushtia,Khulna Division,48.7,43.9,31.0,55.4,42.0,13.4,Modeled Demonstration Inputs
jhenaidah,Jhenaidah,Khulna Division,45.0,40.3,28.2,51.8,38.2,13.6,Modeled Demonstration Inputs
satkhira,Satkhira,Khulna Division,41.2,36.7,25.2,47.9,34.5,13.4,Modeled Demonstration Inputs
bagerhat,Bagerhat,Khulna Division,40.5,36.0,24.8,47.2,33.8,13.4,Modeled Demonstration Inputs
