district_id,district_name,healthcare_facility_count,education_facility_count,transit_point_count,source_citation
dhaka,Dhaka,1142,2840,1650,OpenStreetMap, extracted 2026-03-12
gazipur,Gazipur,312,890,430,OpenStreetMap, extracted 2026-03-12
narayanganj,Narayanganj,280,720,380,OpenStreetMap, extracted 2026-03-12
tangail,Tangail,185,820,210,OpenStreetMap, extracted 2026-03-12
narsingdi,Narsingdi,140,540,175,OpenStreetMap, extracted 2026-03-12
manikganj,Manikganj,95,380,120,OpenStreetMap, extracted 2026-03-12
munshiganj,Munshiganj,110,410,135,OpenStreetMap, extracted 2026-03-12
faridpur,Faridpur,135,510,150,OpenStreetMap, extracted 2026-03-12
gopalganj,Gopalganj,85,390,95,OpenStreetMap, extracted 2026-03-12
madaripur,Madaripur,78,340,88,OpenStreetMap, extracted 2026-03-12
rajbari,Rajbari,72,310,80,OpenStreetMap, extracted 2026-03-12
shariatpur,Shariatpur,75,320,78,OpenStreetMap, extracted 2026-03-12
kishoreganj,Kishoreganj,165,710,145,OpenStreetMap, extracted 2026-03-12
chattogram,Chattogram,780,2150,1180,OpenStreetMap, extracted 2026-03-12
coxs_bazar,Cox's Bazar,142,490,160,OpenStreetMap, extracted 2026-03-12
cumilla,Cumilla,360,1340,410,OpenStreetMap, extracted 2026-03-12
feni,Feni,125,430,155,OpenStreetMap, extracted 2026-03-12
brahmanbaria,Brahmanbaria,170,720,195,OpenStreetMap, extracted 2026-03-12
noakhali,Noakhali,195,810,215,OpenStreetMap, extracted 2026-03-12
chandpur,Chandpur,155,640,180,OpenStreetMap, extracted 2026-03-12
lakshmipur,Lakshmipur,110,480,125,OpenStreetMap, extracted 2026-03-12
rangamati,Rangamati,48,220,35,OpenStreetMap, extracted 2026-03-12
khagrachhari,Khagrachhari,52,240,40,OpenStreetMap, extracted 2026-03-12
bandarban,Bandarban,38,180,28,OpenStreetMap, extracted 2026-03-12
rajshahi,Rajshahi,295,980,340,OpenStreetMap, extracted 2026-03-12
bogura,Bogura,260,1020,310,OpenStreetMap, extracted 2026-03-12
pabna,Pabna,165,730,190,OpenStreetMap, extracted 2026-03-12
sirajganj,Sirajganj,180,820,185,OpenStreetMap, extracted 2026-03-12
naogaon,Naogaon,150,710,165,OpenStreetMap, extracted 2026-03-12
natore,Natore,115,510,140,OpenStreetMap, extracted 2026-03-12
joypurhat,Joypurhat,75,310,95,OpenStreetMap, extracted 2026-03-12
chapainawabganj,Chapainawabganj,110,490,130,OpenStreetMap, extracted 2026-03-12
khulna,Khulna,245,860,310,OpenStreetMap, extracted 2026-03-12
jashore,Jashore,220,890,270,OpenStreetMap, extracted 2026-03-12
kushtia,Kushtia,155,610,185,OpenStreetMap, extracted 2026-03-12
jhenaidah,Jhenaidah,130,550,150,OpenStreetMap, extracted 2026-03-12
satkhira,Satkhira,135,580,140,OpenStreetMap, extracted 2026-03-12
bagerhat,Bagerhat,115,490,125,OpenStreetMap, extracted 2026-03-12
chuadanga,Chuadanga,95,380,110,OpenStreetMap, extracted 2026-03-12
meherpur,Meherpur,58,230,68,OpenStreetMap, extracted 2026-03-12
magura,Magura,75,310,85,OpenStreetMap, extracted 2026-03-12
narail,Narail,62,260,70,OpenStreetMap, extracted 2026-03-12
barishal,Barishal,190,740,220,OpenStreetMap, extracted 2026-03-12
patuakhali,Patuakhali,115,470,110,OpenStreetMap, extracted 2026-03-12
bhola,Bhola,98,420,85,OpenStreetMap, extracted 2026-03-12
pirojpur,Pirojpur,95,390,95,OpenStreetMap, extracted 2026-03-12
barguna,Barguna,68,280,62,OpenStreetMap, extracted 2026-03-12
jhalokati,Jhalokati,60,250,65,OpenStreetMap, extracted 2026-03-12
sylhet,Sylhet,285,1080,330,OpenStreetMap, extracted 2026-03-12
moulvibazar,Moulvibazar,140,580,165,OpenStreetMap, extracted 2026-03-12
habiganj,Habiganj,130,540,145,OpenStreetMap, extracted 2026-03-12
sunamganj,Sunamganj,115,510,110,OpenStreetMap, extracted 2026-03-12
rangpur,Rangpur,220,870,260,OpenStreetMap, extracted 2026-03-12
dinajpur,Dinajpur,205,920,240,OpenStreetMap, extracted 2026-03-12
gaibandha,Gaibandha,120,530,130,OpenStreetMap, extracted 2026-03-12
kurigram,Kurigram,95,440,90,OpenStreetMap, extracted 2026-03-12
lalmonirhat,Lalmonirhat,78,330,85,OpenStreetMap, extracted 2026-03-12
nilphamari,Nilphamari,110,470,120,OpenStreetMap, extracted 2026-03-12
panchagarh,Panchagarh,72,310,75,OpenStreetMap, extracted 2026-03-12
thakurgaon,Thakurgaon,88,380,95,OpenStreetMap, extracted 2026-03-12
mymensingh,Mymensingh,310,1280,340,OpenStreetMap, extracted 2026-03-12
jamalpur,Jamalpur,118,520,125,OpenStreetMap, extracted 2026-03-12
netrokona,Netrokona,98,460,95,OpenStreetMap, extracted 2026-03-12
sherpur,Sherpur,61,285,55,OpenStreetMap, extracted 2026-03-12
