district_id,district_name,division,population,census_year,source_citation
dhaka,Dhaka,Dhaka Division,10278882,2022,BBS Population and Housing Census 2022
gazipur,Gazipur,Dhaka Division,5263474,2022,BBS Population and Housing Census 2022
narayanganj,Narayanganj,Dhaka Division,3909138,2022,BBS Population and Housing Census 2022
tangail,Tangail,Dhaka Division,4037608,2022,BBS Population and Housing Census 2022
narsingdi,Narsingdi,Dhaka Division,2584452,2022,BBS Population and Housing Census 2022
manikganj,Manikganj,Dhaka Division,1558024,2022,BBS Population and Housing Census 2022
munshiganj,Munshiganj,Dhaka Division,1625418,2022,BBS Population and Housing Census 2022
faridpur,Faridpur,Dhaka Division,2162876,2022,BBS Population and Housing Census 2022
gopalganj,Gopalganj,Dhaka Division,1295053,2022,BBS Population and Housing Census 2022
madaripur,Madaripur,Dhaka Division,1293027,2022,BBS Population and Housing Census 2022
rajbari,Rajbari,Dhaka Division,1189821,2022,BBS Population and Housing Census 2022
shariatpur,Shariatpur,Dhaka Division,1294561,2022,BBS Population and Housing Census 2022
kishoreganj,Kishoreganj,Dhaka Division,3484271,2022,BBS Population and Housing Census 2022
chattogram,Chattogram,Chattogram Division,9169464,2022,BBS Population and Housing Census 2022
coxs_bazar,Cox's Bazar,Chattogram Division,2823265,2022,BBS Population and Housing Census 2022
cumilla,Cumilla,Chattogram Division,6212216,2022,BBS Population and Housing Census 2022
feni,Feni,Chattogram Division,1648896,2022,BBS Population and Housing Census 2022
brahmanbaria,Brahmanbaria,Chattogram Division,3306559,2022,BBS Population and Housing Census 2022
noakhali,Noakhali,Chattogram Division,3625252,2022,BBS Population and Housing Census 2022
chandpur,Chandpur,Chattogram Division,2635748,2022,BBS Population and Housing Census 2022
lakshmipur,Lakshmipur,Chattogram Division,1938111,2022,BBS Population and Housing Census 2022
rangamati,Rangamati,Chattogram Division,647587,2022,BBS Population and Housing Census 2022
khagrachhari,Khagrachhari,Chattogram Division,714119,2022,BBS Population and Housing Census 2022
bandarban,Bandarban,Chattogram Division,481109,2022,BBS Population and Housing Census 2022
rajshahi,Rajshahi,Rajshahi Division,2915013,2022,BBS Population and Housing Census 2022
bogura,Bogura,Rajshahi Division,3734300,2022,BBS Population and Housing Census 2022
pabna,Pabna,Rajshahi Division,2909622,2022,BBS Population and Housing Census 2022
sirajganj,Sirajganj,Rajshahi Division,3544080,2022,BBS Population and Housing Census 2022
naogaon,Naogaon,Rajshahi Division,2784598,2022,BBS Population and Housing Census 2022
natore,Natore,Rajshahi Division,1859921,2022,BBS Population and Housing Census 2022
joypurhat,Joypurhat,Rajshahi Division,956447,2022,BBS Population and Housing Census 2022
chapainawabganj,Chapainawabganj,Rajshahi Division,1835528,2022,BBS Population and Housing Census 2022
khulna,Khulna,Khulna Division,2613385,2022,BBS Population and Housing Census 2022
jashore,Jashore,Khulna Division,3076849,2022,BBS Population and Housing Census 2022
kushtia,Kushtia,Khulna Division,2149692,2022,BBS Population and Housing Census 2022
jhenaidah,Jhenaidah,Khulna Division,2005849,2022,BBS Population and Housing Census 2022
satkhira,Satkhira,Khulna Division,2196581,2022,BBS Population and Housing Census 2022
bagerhat,Bagerhat,Khulna Division,1613079,2022,BBS Population and Housing Census 2022
chuadanga,Chuadanga,Khulna Division,1234066,2022,BBS Population and Housing Census 2022
meherpur,Meherpur,Khulna Division,705356,2022,BBS Population and Housing Census 2022
magura,Magura,Khulna Division,1033115,2022,BBS Population and Housing Census 2022
narail,Narail,Khulna Division,788673,2022,BBS Population and Housing Census 2022
barishal,Barishal,Barishal Division,2570450,2022,BBS Population and Housing Census 2022
patuakhali,Patuakhali,Barishal Division,1727254,2022,BBS Population and Housing Census 2022
bhola,Bhola,Barishal Division,1932514,2022,BBS Population and Housing Census 2022
pirojpur,Pirojpur,Barishal Division,1198193,2022,BBS Population and Housing Census 2022
barguna,Barguna,Barishal Division,1010540,2022,BBS Population and Housing Census 2022
jhalokati,Jhalokati,Barishal Division,715401,2022,BBS Population and Housing Census 2022
sylhet,Sylhet,Sylhet Division,3857037,2022,BBS Population and Housing Census 2022
moulvibazar,Moulvibazar,Sylhet Division,2121667,2022,BBS Population and Housing Census 2022
habiganj,Habiganj,Sylhet Division,2358886,2022,BBS Population and Housing Census 2022
sunamganj,Sunamganj,Sylhet Division,2695495,2022,BBS Population and Housing Census 2022
rangpur,Rangpur,Rangpur Division,3169615,2022,BBS Population and Housing Census 2022
dinajpur,Dinajpur,Rangpur Division,3315238,2022,BBS Population and Housing Census 2022
gaibandha,Gaibandha,Rangpur Division,2562232,2022,BBS Population and Housing Census 2022
kurigram,Kurigram,Rangpur Division,2329161,2022,BBS Population and Housing Census 2022
lalmonirhat,Lalmonirhat,Rangpur Division,1428406,2022,BBS Population and Housing Census 2022
nilphamari,Nilphamari,Rangpur Division,2092567,2022,BBS Population and Housing Census 2022
panchagarh,Panchagarh,Rangpur Division,1179843,2022,BBS Population and Housing Census 2022
thakurgaon,Thakurgaon,Rangpur Division,1533895,2022,BBS Population and Housing Census 2022
mymensingh,Mymensingh,Mymensingh Division,5899052,2022,BBS Population and Housing Census 2022
jamalpur,Jamalpur,Mymensingh Division,2499737,2022,BBS Population and Housing Census 2022
netrokona,Netrokona,Mymensingh Division,2324856,2022,BBS Population and Housing Census 2022
sherpur,Sherpur,Mymensingh Division,1445747,2022,BBS Population and Housing Census 2022
