name,iso,id,country,admin_level,category,range_type,range,population,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,population_share,population_interval,population_interval_share
Meherpur,,16705992B11914188004823,BGD,ADM2,education,DISTANCE,5000,212001,65548,30.85,65548,30.85,30.87,212001,30.87
Meherpur,,16705992B11914188004823,BGD,ADM2,education,DISTANCE,10000,429607,132886,62.55,67338,31.69,62.56,217606,31.69
Meherpur,,16705992B11914188004823,BGD,ADM2,education,DISTANCE,15000,559329,173044,81.45,40158,18.9,81.45,129722,18.89
Meherpur,,16705992B11914188004823,BGD,ADM2,education,DISTANCE,20000,627388,194120,91.37,21076,9.92,91.36,68059,9.91
Meherpur,,16705992B11914188004823,BGD,ADM2,education,DISTANCE,25000,641396,198451,93.41,4331,2.04,93.4,14008,2.04
Meherpur,,16705992B11914188004823,BGD,ADM2,education,DISTANCE,30000,642521,198799,93.57,348,0.16,93.56,1125,0.16
Meherpur,,16705992B11914188004823,BGD,ADM2,education,DISTANCE,35000,643511,199105,93.71,306,0.14,93.71,990,0.14
Meherpur,,16705992B11914188004823,BGD,ADM2,education,DISTANCE,40000,644708,199475,93.89,370,0.17,93.88,1197,0.17
Meherpur,,16705992B11914188004823,BGD,ADM2,education,DISTANCE,45000,645106,199598,93.95,123,0.06,93.94,398,0.06
Meherpur,,16705992B11914188004823,BGD,ADM2,education,DISTANCE,50000,645294,199656,93.97,58,0.03,93.97,188,0.03
Barguna,,16705992B13795829103768,BGD,ADM2,education,DISTANCE,5000,321734,108508,35.74,108508,35.74,35.78,321734,35.78
Barguna,,16705992B13795829103768,BGD,ADM2,education,DISTANCE,10000,423175,142715,47.01,34207,11.27,47.06,101441,11.28
Barguna,,16705992B13795829103768,BGD,ADM2,education,DISTANCE,15000,487291,164384,54.15,21669,7.14,54.19,64116,7.13
Barguna,,16705992B13795829103768,BGD,ADM2,education,DISTANCE,20000,617598,208410,68.65,44026,14.5,68.68,130307,14.49
Barguna,,16705992B13795829103768,BGD,ADM2,education,DISTANCE,25000,701328,236725,77.97,28315,9.33,78.0,83730,9.31
Barguna,,16705992B13795829103768,BGD,ADM2,education,DISTANCE,30000,746995,252154,83.06,15429,5.08,83.08,45667,5.08
Barguna,,16705992B13795829103768,BGD,ADM2,education,DISTANCE,35000,790503,266836,87.89,14682,4.84,87.91,43508,4.84
Barguna,,16705992B13795829103768,BGD,ADM2,education,DISTANCE,40000,794512,268188,88.34,1352,0.45,88.36,4009,0.45
Barguna,,16705992B13795829103768,BGD,ADM2,education,DISTANCE,45000,794523,268192,88.34,4,0.0,88.36,11,0.0
Barguna,,16705992B13795829103768,BGD,ADM2,education,DISTANCE,50000,794525,268192,88.34,0,0.0,88.36,2,0.0
Jhalokati,,16705992B14602656752780,BGD,ADM2,education,DISTANCE,5000,272271,99158,40.75,99158,40.75,40.72,272271,40.72
Jhalokati,,16705992B14602656752780,BGD,ADM2,education,DISTANCE,10000,329948,120135,49.38,20977,8.62,49.35,57677,8.63
Jhalokati,,16705992B14602656752780,BGD,ADM2,education,DISTANCE,15000,408817,148822,61.17,28687,11.79,61.14,78869,11.8
Jhalokati,,16705992B14602656752780,BGD,ADM2,education,DISTANCE,20000,473592,172398,70.85,23576,9.69,70.83,64775,9.69
Jhalokati,,16705992B14602656752780,BGD,ADM2,education,DISTANCE,25000,522024,190008,78.09,17610,7.24,78.08,48432,7.24
Jhalokati,,16705992B14602656752780,BGD,ADM2,education,DISTANCE,30000,542380,197405,81.13,7397,3.04,81.12,20356,3.04
Jhalokati,,16705992B14602656752780,BGD,ADM2,education,DISTANCE,35000,545579,198565,81.61,1160,0.48,81.6,3199,0.48
Jhalokati,,16705992B14602656752780,BGD,ADM2,education,DISTANCE,40000,546202,198791,81.7,226,0.09,81.69,623,0.09
Jhalokati,,16705992B14602656752780,BGD,ADM2,education,DISTANCE,45000,546617,198940,81.76,149,0.06,81.75,415,0.06
Jhalokati,,16705992B14602656752780,BGD,ADM2,education,DISTANCE,50000,548920,199778,82.11,838,0.34,82.1,2303,0.34
Chuadanga,,16705992B19758630986204,BGD,ADM2,education,DISTANCE,5000,346168,111993,28.05,111993,28.05,28.05,346168,28.05
Chuadanga,,16705992B19758630986204,BGD,ADM2,education,DISTANCE,10000,683857,221234,55.42,109241,27.37,55.42,337689,27.36
Chuadanga,,16705992B19758630986204,BGD,ADM2,education,DISTANCE,15000,1016790,328912,82.39,107678,26.97,82.39,332933,26.98
Chuadanga,,16705992B19758630986204,BGD,ADM2,education,DISTANCE,20000,1117995,361642,90.59,32730,8.2,90.6,101205,8.2
Chuadanga,,16705992B19758630986204,BGD,ADM2,education,DISTANCE,25000,1186065,383659,96.11,22017,5.52,96.11,68070,5.52
Chuadanga,,16705992B19758630986204,BGD,ADM2,education,DISTANCE,30000,1193200,385967,96.69,2308,0.58,96.69,7135,0.58
