name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Meherpur,,16705992B11914188004823,BGD,ADM2,hospitals,TIME,600,246704,17360,35.89,17360,35.89,76262,35.89,76262,35.89,227578,35.92,227578,35.92,76546,35.94,76546,35.94,21056,35.95,21056,35.95,35.92,246704,35.92
Meherpur,,16705992B11914188004823,BGD,ADM2,hospitals,TIME,1200,454458,32003,66.17,14643,30.28,140591,66.17,64329,30.28,419253,66.18,191675,30.26,140954,66.18,64408,30.24,38759,66.18,17703,30.23,66.18,207754,30.25
Meherpur,,16705992B11914188004823,BGD,ADM2,hospitals,TIME,1800,528249,37210,76.94,5207,10.77,163458,76.94,22867,10.76,487334,76.92,68081,10.75,163818,76.92,22864,10.74,45047,76.91,6288,10.74,76.92,73791,10.75
Meherpur,,16705992B11914188004823,BGD,ADM2,hospitals,TIME,2400,602876,42465,87.8,5255,10.87,186541,87.8,23083,10.86,556178,87.79,68844,10.87,186965,87.79,23147,10.87,51414,87.78,6367,10.87,87.79,74627,10.87
Meherpur,,16705992B11914188004823,BGD,ADM2,hospitals,TIME,3000,637953,44934,92.91,2469,5.1,197387,92.9,10846,5.1,588536,92.9,32358,5.11,197847,92.9,10882,5.11,54407,92.89,2993,5.11,92.9,35077,5.11
Meherpur,,16705992B11914188004823,BGD,ADM2,hospitals,TIME,3600,644478,45393,93.86,459,0.95,199404,93.85,2017,0.95,594555,93.85,6019,0.95,199872,93.85,2025,0.95,54964,93.84,557,0.95,93.85,6525,0.95
Meherpur,,16705992B11914188004823,BGD,ADM2,hospitals,TIME,4200,645824,45487,94.05,94,0.19,199820,94.05,416,0.2,595797,94.04,1242,0.2,200289,94.04,417,0.2,55079,94.04,115,0.2,94.04,1346,0.2
Meherpur,,16705992B11914188004823,BGD,ADM2,hospitals,TIME,4800,652438,45953,95.01,466,0.96,201864,95.01,2044,0.96,601898,95.01,6101,0.96,202342,95.01,2053,0.96,55643,95.0,564,0.96,95.01,6614,0.96
Meherpur,,16705992B11914188004823,BGD,ADM2,hospitals,TIME,5400,653748,46045,95.2,92,0.19,202269,95.2,405,0.19,603106,95.2,1208,0.19,202748,95.2,406,0.19,55755,95.2,112,0.19,95.2,1310,0.19
Meherpur,,16705992B11914188004823,BGD,ADM2,hospitals,TIME,6000,655437,46164,95.45,119,0.25,202792,95.45,523,0.25,604665,95.44,1559,0.25,203272,95.44,524,0.25,55899,95.44,144,0.25,95.44,1689,0.25
Meherpur,,16705992B11914188004823,BGD,ADM2,hospitals,TIME,6600,656338,46227,95.58,63,0.13,203070,95.58,278,0.13,605495,95.58,830,0.13,203552,95.57,280,0.13,55976,95.57,77,0.13,95.58,901,0.13
Meherpur,,16705992B11914188004823,BGD,ADM2,hospitals,TIME,7200,658306,46366,95.87,139,0.29,203678,95.87,608,0.29,607311,95.86,1816,0.29,204162,95.86,610,0.29,56144,95.86,168,0.29,95.86,1968,0.29
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,600,244627,20164,27.21,20164,27.21,82499,27.17,82499,27.17,222363,27.21,222363,27.21,71029,27.22,71029,27.22,24177,27.18,24177,27.18,27.21,244627,27.21
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,1200,426826,35178,47.47,15014,20.26,144046,47.45,61547,20.27,387956,47.47,165593,20.26,123895,47.47,52866,20.26,42209,47.46,18032,20.28,47.47,182199,20.26
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,1800,581060,47888,64.63,12710,17.15,196103,64.59,52057,17.15,528143,64.62,140187,17.15,168670,64.63,44775,17.16,57462,64.61,15253,17.15,64.62,154234,17.15
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,2400,699006,57595,77.73,9707,13.1,235983,77.73,39880,13.14,635316,77.74,107173,13.11,202877,77.74,34207,13.11,69158,77.76,11696,13.15,77.74,117946,13.12
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,3000,725024,59742,80.62,2147,2.9,244764,80.62,8781,2.89,658967,80.63,23651,2.89,210429,80.63,7552,2.89,71728,80.65,2570,2.89,80.63,26018,2.89
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,3600,791364,65211,88.01,5469,7.38,267233,88.02,22469,7.4,719273,88.01,60306,7.38,229679,88.0,19250,7.38,78281,88.02,6553,7.37,88.01,66340,7.38
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,4200,816953,67320,90.85,2109,2.85,275860,90.87,8627,2.84,742533,90.85,23260,2.85,237110,90.85,7431,2.85,80810,90.86,2529,2.84,90.86,25589,2.85
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,4800,835116,68817,92.87,1497,2.02,281984,92.88,6124,2.02,759043,92.87,16510,2.02,242384,92.87,5274,2.02,82605,92.88,1795,2.02,92.88,18163,2.02
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,5400,880985,72599,97.98,3782,5.1,297456,97.98,15472,5.1,800739,97.98,41696,5.1,255701,97.98,13317,5.1,87137,97.98,4532,5.1,97.98,45869,5.1
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,6000,882694,72740,98.17,141,0.19,298032,98.17,576,0.19,802292,98.17,1553,0.19,256198,98.17,497,0.19,87306,98.17,169,0.19,98.17,1709,0.19
Barguna,,16705992B13795829103768,BGD,ADM2,hospitals,TIME,6600,885843,72999,98.52,259,0.35,299094,98.52,1062,0.35,805155,98.52,2863,0.35,257112,98.52,914,0.35,87618,98.52,312,0.35,98.52,3149,0.35
