name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Meherpur,,16705992B11914188004823,BGD,ADM2,primary_healthcare,TIME,600,168380,11848,24.5,11848,24.5,52050,24.5,52050,24.5,155326,24.52,155326,24.52,52244,24.53,52244,24.53,14371,24.54,14371,24.54,24.52,168380,24.52
Meherpur,,16705992B11914188004823,BGD,ADM2,primary_healthcare,TIME,1200,367684,25888,53.53,14040,29.03,113726,53.53,61676,29.03,339196,53.54,183870,29.02,114051,53.55,61807,29.02,31364,53.55,16993,29.01,53.54,199304,29.02
Meherpur,,16705992B11914188004823,BGD,ADM2,primary_healthcare,TIME,1800,473267,33320,68.89,7432,15.37,146376,68.9,32650,15.37,436596,68.92,97400,15.37,146805,68.93,32754,15.38,40372,68.93,9008,15.38,68.92,105583,15.37
Meherpur,,16705992B11914188004823,BGD,ADM2,primary_healthcare,TIME,2400,576606,40604,83.95,7284,15.06,178372,83.95,31996,15.06,531935,83.96,95339,15.05,178841,83.97,32036,15.04,49181,83.97,8809,15.04,83.96,103339,15.05
Meherpur,,16705992B11914188004823,BGD,ADM2,primary_healthcare,TIME,3000,631250,44462,91.93,3858,7.98,195313,91.93,16941,7.97,582353,91.92,50418,7.96,195768,91.92,16927,7.95,53835,91.92,4654,7.95,91.92,54644,7.96
Meherpur,,16705992B11914188004823,BGD,ADM2,primary_healthcare,TIME,3600,641374,45174,93.4,712,1.47,198444,93.4,3131,1.47,591692,93.4,9339,1.47,198909,93.39,3141,1.47,54699,93.39,864,1.48,93.4,10124,1.47
Meherpur,,16705992B11914188004823,BGD,ADM2,primary_healthcare,TIME,4200,646523,45537,94.15,363,0.75,200036,94.15,1592,0.75,596441,94.15,4749,0.75,200506,94.14,1597,0.75,55138,94.14,439,0.75,94.15,5149,0.75
Meherpur,,16705992B11914188004823,BGD,ADM2,primary_healthcare,TIME,4800,649872,45772,94.64,235,0.49,201071,94.64,1035,0.49,599531,94.63,3090,0.49,201545,94.63,1039,0.49,55424,94.63,286,0.49,94.63,3349,0.49
Meherpur,,16705992B11914188004823,BGD,ADM2,primary_healthcare,TIME,5400,650137,45791,94.68,19,0.04,201153,94.68,82,0.04,599776,94.67,245,0.04,201628,94.67,83,0.04,55447,94.67,23,0.04,94.67,265,0.04
Meherpur,,16705992B11914188004823,BGD,ADM2,primary_healthcare,TIME,6000,652145,45932,94.97,141,0.29,201774,94.97,621,0.29,601628,94.97,1852,0.29,202251,94.96,623,0.29,55618,94.96,171,0.29,94.96,2008,0.29
Meherpur,,16705992B11914188004823,BGD,ADM2,primary_healthcare,TIME,6600,653280,46012,95.13,80,0.17,202125,95.13,351,0.17,602674,95.13,1046,0.17,202603,95.13,352,0.17,55715,95.13,97,0.17,95.13,1135,0.17
Meherpur,,16705992B11914188004823,BGD,ADM2,primary_healthcare,TIME,7200,654166,46074,95.26,62,0.13,202398,95.26,273,0.13,603492,95.26,818,0.13,202878,95.26,275,0.13,55791,95.26,76,0.13,95.26,886,0.13
Barguna,,16705992B13795829103768,BGD,ADM2,primary_healthcare,TIME,600,133243,10978,14.82,10978,14.82,44947,14.81,44947,14.81,121107,14.82,121107,14.82,38682,14.82,38682,14.82,13178,14.82,13178,14.82,14.82,133243,14.82
Barguna,,16705992B13795829103768,BGD,ADM2,primary_healthcare,TIME,1200,342422,28219,38.08,17241,23.27,115503,38.05,70556,23.24,311243,38.08,190136,23.26,99414,38.09,60732,23.27,33857,38.07,20679,23.25,38.08,209179,23.26
Barguna,,16705992B13795829103768,BGD,ADM2,primary_healthcare,TIME,1800,511840,42177,56.92,13958,18.84,172660,56.87,57157,18.83,465229,56.92,153986,18.84,148595,56.94,49181,18.84,50614,56.91,16757,18.84,56.92,169418,18.84
Barguna,,16705992B13795829103768,BGD,ADM2,primary_healthcare,TIME,2400,622953,51327,69.27,9150,12.35,210224,69.25,37564,12.37,566201,69.28,100972,12.35,180824,69.29,32229,12.35,61625,69.29,11011,12.38,69.28,111113,12.36
Barguna,,16705992B13795829103768,BGD,ADM2,primary_healthcare,TIME,3000,676203,55708,75.18,4381,5.91,228255,75.19,18031,5.94,614583,75.2,48382,5.92,196266,75.2,15442,5.92,66909,75.23,5284,5.94,75.2,53250,5.92
Barguna,,16705992B13795829103768,BGD,ADM2,primary_healthcare,TIME,3600,766053,63123,85.19,7415,10.01,258692,85.21,30437,10.03,696265,85.19,81682,9.99,222331,85.19,26065,9.99,75780,85.21,8871,9.97,85.19,89850,9.99
Barguna,,16705992B13795829103768,BGD,ADM2,primary_healthcare,TIME,4200,794554,65474,88.36,2351,3.17,268308,88.38,9616,3.17,722173,88.36,25908,3.17,230605,88.36,8274,3.17,78596,88.37,2816,3.17,88.36,28501,3.17
Barguna,,16705992B13795829103768,BGD,ADM2,primary_healthcare,TIME,4800,816687,67298,90.82,1824,2.46,275770,90.84,7462,2.46,742292,90.82,20119,2.46,237032,90.82,6427,2.46,80784,90.83,2188,2.46,90.83,22133,2.46
Barguna,,16705992B13795829103768,BGD,ADM2,primary_healthcare,TIME,5400,877189,72286,97.55,4988,6.73,296176,97.56,20406,6.72,797288,97.55,54996,6.73,254599,97.55,17567,6.73,86762,97.56,5978,6.72,97.55,60502,6.73
Barguna,,16705992B13795829103768,BGD,ADM2,primary_healthcare,TIME,6000,882502,72724,98.14,438,0.59,297968,98.15,1792,0.59,802118,98.15,4830,0.59,256142,98.14,1543,0.59,87287,98.15,525,0.59,98.15,5313,0.59
Barguna,,16705992B13795829103768,BGD,ADM2,primary_healthcare,TIME,6600,887214,73112,98.67,388,0.52,299556,98.67,1588,0.52,806401,98.67,4283,0.52,257510,98.67,1368,0.52,87753,98.67,466,0.52,98.67,4712,0.52
Barguna,,16705992B13795829103768,BGD,ADM2,primary_healthcare,TIME,7200,889313,73285,98.9,173,0.23,300264,98.9,708,0.23,808308,98.9,1907,0.23,258120,98.9,610,0.23,87961,98.9,208,0.23,98.9,2099,0.23
Jhalokati,,16705992B14602656752780,BGD,ADM2,primary_healthcare,TIME,600,78629,6147,11.84,6147,11.84,28726,11.81,28726,11.81,70905,11.77,70905,11.77,22642,11.74,22642,11.74,8339,11.65,8339,11.65,11.76,78629,11.76
Jhalokati,,16705992B14602656752780,BGD,ADM2,primary_healthcare,TIME,1200,356287,27667,53.31,21520,41.46,129721,53.31,100995,41.51,320942,53.29,250037,41.52,102721,53.28,80079,41.54,38132,53.26,29793,41.61,53.29,277658,41.53
Jhalokati,,16705992B14602656752780,BGD,ADM2,primary_healthcare,TIME,1800,423173,32860,63.31,5193,10.01,154065,63.32,24344,10.01,381190,63.3,60248,10.0,122004,63.29,19283,10.0,45293,63.26,7161,10.0,63.29,66886,10.0
Jhalokati,,16705992B14602656752780,BGD,ADM2,primary_healthcare,TIME,2400,516730,40113,77.29,7253,13.97,188083,77.3,34018,13.98,465444,77.29,84254,13.99,148987,77.28,26983,14.0,55328,77.28,10035,14.02,77.28,93557,13.99
